id,id_role,fio,login,password
1,1,Ворсин Петр Евгеньевич,94d5ous@gmail.com,uzWC67
2,1,Старикова Елена Павловна,uth4iz@mail.com,2L6KZG
3,1,Одинцов Серафим Артёмович,yzls62@outlook.com,JlFRCZ
4,2,Михайлюк Анна Вячеславовна,1diph5e@tutanota.com,8ntwUp
5,2,Ситдикова Елена Анатольевна,tjde7c@yahoo.com,YOyhfR
6,2,Никифорова Весения Николаевна,wpmrc3do@tutanota.com,RSbvHv
7,3,Степанов Михаил Артёмович,5d4zbu@tutanota.com,rwVDh9
8,3,Ворсин Петр Евгеньевич,ptec8ym@yahoo.com,LdNyos
9,3,Старикова Елена Павловна,1qz4kw@mail.com,gynQMT
10,3,Сазонов Руслан Германович,4np6se@mail.com,AtnDjr
